fileName,sample,individual,tissue,raw.single.reads
G33678.GTEX-R55D-0126-SM-48FEL.4,GTEX-R55D-0126-SM-48FEL,GTEX-R55D,Testis,68973333
G18665.GTEX-RVPU-2326-SM-2TF6R.1,GTEX-RVPU-2326-SM-2TF6R,GTEX-RVPU,Adipose - Subcutaneous,101586666
G33786.GTEX-PWOO-0626-SM-48TZH.3,GTEX-PWOO-0626-SM-48TZH,GTEX-PWOO,Pancreas,78493333
G33869.GTEX-OXRN-2626-SM-48TBX.1,GTEX-OXRN-2626-SM-48TBX,GTEX-OXRN,Pituitary,66760000
G34045.GTEX-S7SF-0826-SM-4AD4W.3,GTEX-S7SF-0826-SM-4AD4W,GTEX-S7SF,Uterus,64306666
G22969.GTEX-U412-0326-SM-3DB9L.1,GTEX-U412-0326-SM-3DB9L,GTEX-U412,Muscle - Skeletal,97840000
G53813.GTEX-12BJ1-2126.2,GTEX-12BJ1-2126-SM-5BC5O,GTEX-12BJ1,Colon - Transverse,93546666
G62703.GTEX-144FL-0426.2,GTEX-144FL-0426-SM-5O9A1,GTEX-144FL,Nerve - Tibial,80026666
G59910.GTEX-131XF-1126.2,GTEX-131XF-1126-SM-5HL8J,GTEX-131XF,Esophagus - Gastroesophageal Junction,62866666
G32431.GTEX-QV44-2226-SM-447A3.2,GTEX-QV44-2226-SM-447A3,GTEX-QV44,Artery - Tibial,54400000
G53035.GTEX-11I78-0826.3,GTEX-11I78-0826-SM-5A5K4,GTEX-11I78,Heart - Left Ventricle,83093333
G25962.GTEX-OXRK-0326-SM-3NB3R.2,GTEX-OXRK-0326-SM-3NB3R,GTEX-OXRK,Adipose - Subcutaneous,132413333
G21079.GTEX-T2YK-2226-SM-32QPT.1,GTEX-T2YK-2226-SM-32QPT,GTEX-T2YK,Breast - Mammary Tissue,119400000
G53854.GTEX-11OF3-0826.2,GTEX-11OF3-0826-SM-5BC51,GTEX-11OF3,Adipose - Visceral (Omentum),78640000
G60468.GTEX-131YS-1226.2,GTEX-131YS-1226-SM-5K7VE,GTEX-131YS,Artery - Coronary,84413333
G62288.GTEX-117YW-0326.2,GTEX-117YW-0326-SM-5N9CY,GTEX-117YW,Heart - Left Ventricle,74493333
G40989.GTEX-WFG8-1826-SM-4LVM4.3,GTEX-WFG8-1826-SM-4LVM4,GTEX-WFG8,Prostate,59920000
G49172.GTEX-ZLWG-0626.1,GTEX-ZLWG-0626-SM-4WWFR,GTEX-ZLWG,Lung,110693333
G59222.GTEX-1211K-0626.3,GTEX-1211K-0626-SM-5FQUZ,GTEX-1211K,Heart - Left Ventricle,90840000
G63915.GTEX-13X6H-0726.2,GTEX-13X6H-0726-SM-5Q5BX,GTEX-13X6H,Spleen,67360000
G60102.GTEX-13N1W-2426.2,GTEX-13N1W-2426-SM-5IJD1,GTEX-13N1W,Skin - Not Sun Exposed (Suprapubic),65653333
G32396.GTEX-QLQW-0126-SM-447BK.3,GTEX-QLQW-0126-SM-447BK,GTEX-QLQW,Spleen,66786666
G52266.GTEX-ZE7O-0011-R10a.1,GTEX-ZE7O-0011-R10a-SM-57WAZ,GTEX-ZE7O,Brain - Frontal Cortex (BA9),70960000
G63881.GTEX-YJ8A-0826.2,GTEX-YJ8A-0826-SM-5Q5A7,GTEX-YJ8A,Artery - Tibial,75360000
G53117.GTEX-11LCK-0526.3,GTEX-11LCK-0526-SM-5A5M9,GTEX-11LCK,Thyroid,82853333
G34493.GTEX-XUJ4-1126-SM-4BOPC.7,GTEX-XUJ4-1126-SM-4BOPC,GTEX-XUJ4,Esophagus - Gastroesophageal Junction,53986666
G58379.GTEX-12C56-0826.2,GTEX-12C56-0826-SM-5EGJ5,GTEX-12C56,Adipose - Visceral (Omentum),87666666
G53865.GTEX-11TTK-0326.2,GTEX-11TTK-0326-SM-5BC5N,GTEX-11TTK,Muscle - Skeletal,75920000
G65138.GTEX-14BMU-1226.2,GTEX-14BMU-1226-SM-5S2OR,GTEX-14BMU,Skin - Not Sun Exposed (Suprapubic),95480000
G49474.GTEX-ZVT3-0011-R5a.2,GTEX-ZVT3-0011-R5a-SM-51MSI,GTEX-ZVT3,Brain - Caudate (basal ganglia),104960000
G52387.GTEX-ZQG8-0626.1,GTEX-ZQG8-0626-SM-57WF3,GTEX-ZQG8,Artery - Coronary,78906666
G56206.GTEX-13111-0326.2,GTEX-13111-0326-SM-5DUXF,GTEX-13111,Adrenal Gland,72266666
G63039.GTEX-YFC4-3126.2,GTEX-YFC4-3126-SM-5PNV6,GTEX-YFC4,Brain - Cortex,75560000
G62054.GTEX-13G51-0011-R1a.2,GTEX-13G51-0011-R1a-SM-5LZYR,GTEX-13G51,Brain - Hippocampus,68666666
G60769.GTEX-13O3O-3026.2,GTEX-13O3O-3026-SM-5KM42,GTEX-13O3O,Brain - Cerebellum,85093333
G22903.GTEX-TSE9-0011-R7A-SM-3DB7P.1,GTEX-TSE9-0011-R7A-SM-3DB7P,GTEX-TSE9,Brain - Putamen (basal ganglia),146026666
G16642.GTEX-PW2O-0006.3,GTEX-PW2O-0006-SM-2I3DV,GTEX-PW2O,Whole Blood,102453333
G46843.GTEX-Y5LM-0226.1,GTEX-Y5LM-0226-SM-4VBRM,GTEX-Y5LM,Artery - Aorta,111173333
G35245.GTEX-SUCS-0008-SM-4DM53.1,GTEX-SUCS-0008-SM-4DM53,GTEX-SUCS,Cells - Transformed fibroblasts,70533333
G62807.GTEX-13OW7-0011-R4b.3,GTEX-13OW7-0011-R4b-SM-5O9CX,GTEX-13OW7,Brain - Amygdala,114986666
G62518.GTEX-ZUA1-1226.2,GTEX-ZUA1-1226-SM-5NQ6O,GTEX-ZUA1,Esophagus - Mucosa,76080000
G63032.GTEX-11DXX-0326.2,GTEX-11DXX-0326-SM-5PNWC,GTEX-11DXX,Heart - Left Ventricle,85426666
G25165.GTEX-NFK9-1526-SM-3LK7B.1,GTEX-NFK9-1526-SM-3LK7B,GTEX-NFK9,Stomach,111506666
G33939.GTEX-P4QS-0008-SM-48TDY.1,GTEX-P4QS-0008-SM-48TDY,GTEX-P4QS,Cells - Transformed fibroblasts,53386666
G65575.GTEX-UPK5-0326.3,GTEX-UPK5-0326-SM-5SI81,GTEX-UPK5,Heart - Left Ventricle,90120000
G65124.GTEX-Y5V5-0226.2,GTEX-Y5V5-0226-SM-5S2N8,GTEX-Y5V5,Adipose - Visceral (Omentum),63093333
G58288.GTEX-111CU-1726.2,GTEX-111CU-1726-SM-5EGHM,GTEX-111CU,Testis,71426666
G65123.GTEX-Y8LW-1826.2,GTEX-Y8LW-1826-SM-5S2MV,GTEX-Y8LW,Skin - Sun Exposed (Lower leg),76280000
G53855.GTEX-11P81-1626.2,GTEX-11P81-1626-SM-5BC52,GTEX-11P81,Uterus,92266666
G42266.GTEX-X15G-1426.3,GTEX-X15G-1426-SM-4PQZK,GTEX-X15G,Small Intestine - Terminal Ileum,63293333
G33848.GTEX-Q2AH-0126-SM-48U2B.3,GTEX-Q2AH-0126-SM-48U2B,GTEX-Q2AH,Adrenal Gland,71626666
G60231.GTEX-13O61-2126.2,GTEX-13O61-2126-SM-5IJEO,GTEX-13O61,Pancreas,95520000
G34310.GTEX-XGQ4-0008-SM-4AT3Z.2,GTEX-XGQ4-0008-SM-4AT3Z,GTEX-XGQ4,Cells - Transformed fibroblasts,86586666
G33832.GTEX-QDVJ-1126-SM-48U1U.3,GTEX-QDVJ-1126-SM-48U1U,GTEX-QDVJ,Adrenal Gland,80253333
G26557.GTEX-OXRL-0426-SM-3NM97.1,GTEX-OXRL-0426-SM-3NM97,GTEX-OXRL,Artery - Aorta,133160000
G21124.GTEX-OHPL-0326-SM-33HC8.1,GTEX-OHPL-0326-SM-33HC8,GTEX-OHPL,Heart - Left Ventricle,177000000
G64018.GTEX-1497J-0726.1,GTEX-1497J-0726-SM-5Q5D1,GTEX-1497J,Liver,104946666
G33694.GTEX-R45C-0008-SM-48FF2.4,GTEX-R45C-0008-SM-48FF2,GTEX-R45C,Cells - Transformed fibroblasts,70386666
G60973.GTEX-13OW6-0011-R10a.2,GTEX-13OW6-0011-R10a-SM-5L3HE,GTEX-13OW6,Brain - Frontal Cortex (BA9),114720000
G25954.GTEX-WK11-0006-SM-3NB3J.2,GTEX-WK11-0006-SM-3NB3J,GTEX-WK11,Whole Blood,132240000
G41000.GTEX-WFJO-2026-SM-4LVM3.3,GTEX-WFJO-2026-SM-4LVM3,GTEX-WFJO,Minor Salivary Gland,72146666
G65625.GTEX-14BIN-0011-R5b.3,GTEX-14BIN-0011-R5b-SM-5SI78,GTEX-14BIN,Brain - Caudate (basal ganglia),81000000
G62583.GTEX-146FH-1526.2,GTEX-146FH-1526-SM-5NQBU,GTEX-146FH,Liver,95520000
G60116.GTEX-13FTW-2526.2,GTEX-13FTW-2526-SM-5IJC8,GTEX-13FTW,Adipose - Subcutaneous,77613333
G20915.GTEX-T5JC-0011-R9A-SM-32PLV.2,GTEX-T5JC-0011-R9A-SM-32PLV,GTEX-T5JC,Brain - Spinal cord (cervical c-1),127533333
G26568.GTEX-WZTO-2926-SM-3NM9I.1,GTEX-WZTO-2926-SM-3NM9I,GTEX-WZTO,Brain - Cortex,128160000
G58327.GTEX-117YW-0126.2,GTEX-117YW-0126-SM-5EGGN,GTEX-117YW,Thyroid,69346666
G49081.GTEX-ZPU1-1626.1,GTEX-ZPU1-1626-SM-4WWB2,GTEX-ZPU1,Stomach,71493333
G33853.GTEX-QCQG-0008-SM-48U2G.3,GTEX-QCQG-0008-SM-48U2G,GTEX-QCQG,Cells - Transformed fibroblasts,77866666
G65654.GTEX-139T4-0008.2,GTEX-139T4-0008-SM-5S2WF,GTEX-139T4,Cells - Transformed fibroblasts,108226666
G32800.GTEX-X4XX-0011-R5A-SM-46MWN.2,GTEX-X4XX-0011-R5A-SM-46MWN,GTEX-X4XX,Brain - Caudate (basal ganglia),66386666
G58439.GTEX-131YS-0626.2,GTEX-131YS-0626-SM-5EGKL,GTEX-131YS,Breast - Mammary Tissue,74786666
G62026.GTEX-13FHP-0011-R7b.2,GTEX-13FHP-0011-R7b-SM-5LZYI,GTEX-13FHP,Brain - Putamen (basal ganglia),67093333
G34399.GTEX-XOTO-2926-SM-4B65G.3,GTEX-XOTO-2926-SM-4B65G,GTEX-XOTO,Brain - Cerebellum,109413333
G53067.GTEX-11DZ1-0226.3,GTEX-11DZ1-0226-SM-5A5KF,GTEX-11DZ1,Adipose - Subcutaneous,86226666
G62654.GTEX-12ZZX-0005.2,GTEX-12ZZX-0005-SM-5O9A9,GTEX-12ZZX,Whole Blood,100293333
G22889.GTEX-U3ZH-0226-SM-3DB7B.1,GTEX-U3ZH-0226-SM-3DB7B,GTEX-U3ZH,Thyroid,89173333
G42470.GTEX-QEG4-0926.2,GTEX-QEG4-0926-SM-4R1JO,GTEX-QEG4,Artery - Aorta,58613333
G41183.GTEX-WI4N-2426.4,GTEX-WI4N-2426-SM-4OOSC,GTEX-WI4N,Uterus,56386666
G32935.GTEX-RWS6-1126-SM-47JXC.3,GTEX-RWS6-1126-SM-47JXC,GTEX-RWS6,Pancreas,75520000
G40755.GTEX-VJYA-0626-SM-4KL1S.2,GTEX-VJYA-0626-SM-4KL1S,GTEX-VJYA,Esophagus - Muscularis,72466666
G63154.GTEX-11TTK-2426.2,GTEX-11TTK-2426-SM-5PNYO,GTEX-11TTK,Colon - Transverse,95600000
G63142.GTEX-11P81-2226.2,GTEX-11P81-2226-SM-5PNYI,GTEX-11P81,Skin - Not Sun Exposed (Suprapubic),87920000
G64043.GTEX-14AS3-0126.1,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14AS3,Liver,81333333
G20882.GTEX-PVOW-0011-R3A-SM-32PKX.1,GTEX-PVOW-0011-R3A-SM-32PKX,GTEX-PVOW,Brain - Anterior cingulate cortex (BA24),158840000
G60913.GTEX-13OVI-1426.2,GTEX-13OVI-1426-SM-5L3EY,GTEX-13OVI,Skin - Sun Exposed (Lower leg),75493333
G23485.GTEX-W5X1-0426-SM-3GILB.1,GTEX-W5X1-0426-SM-3GILB,GTEX-W5X1,Thyroid,85146666
G26801.GTEX-X4EP-0626-SM-3P621.2,GTEX-X4EP-0626-SM-3P621,GTEX-X4EP,Skin - Not Sun Exposed (Suprapubic),111333333
G49168.GTEX-ZLFU-0226.1,GTEX-ZLFU-0226-SM-4WWFH,GTEX-ZLFU,Heart - Left Ventricle,102720000
G46823.GTEX-Y8DK-0011-R6A.1,GTEX-Y8DK-0011-R6A-SM-4V6EG,GTEX-Y8DK,Brain - Nucleus accumbens (basal ganglia),96226666
G59853.GTEX-139T4-0126.2,GTEX-139T4-0126-SM-5HL5G,GTEX-139T4,Adipose - Subcutaneous,78253333
G33641.GTEX-R55G-1026-SM-48FDI.4,GTEX-R55G-1026-SM-48FDI,GTEX-R55G,Esophagus - Mucosa,73066666
G16758.GTEX-PWO3-1026.3,GTEX-PWO3-1026-SM-2I5F2,GTEX-PWO3,Brain - Cerebellum,138333333
G25944.GTEX-WWYW-3126-SM-3NB39.2,GTEX-WWYW-3126-SM-3NB39,GTEX-WWYW,Brain - Cortex,125733333
G35185.GTEX-SNOS-1126-SM-4DM67.1,GTEX-SNOS-1126-SM-4DM67,GTEX-SNOS,Testis,70640000
G16815.GTEX-P4QR-1026.3,GTEX-P4QR-1026-SM-2I5GP,GTEX-P4QR,Lung,150826666
G60539.GTEX-13O3O-0826.2,GTEX-13O3O-0826-SM-5K7WE,GTEX-13O3O,Breast - Mammary Tissue,103253333
G46572.GTEX-Y114-0002.2,GTEX-Y114-0002-SM-4TT78,GTEX-Y114,Cells - EBV-transformed lymphocytes,109160000
G16540.GTEX-OIZG-1126.2,GTEX-OIZG-1126-SM-2HMIU,GTEX-OIZG,Heart - Left Ventricle,101666666
G19375.GTEX-S3XE-1826-SM-3K2B4.1,GTEX-S3XE-1826-SM-3K2B4,GTEX-S3XE,Artery - Tibial,81080000
G65099.GTEX-11P7K-0003.2,GTEX-11P7K-0003-SM-5S2OU,GTEX-11P7K,Cells - EBV-transformed lymphocytes,66080000
G59666.GTEX-ZZ64-0526.3,GTEX-ZZ64-0526-SM-5GZXM,GTEX-ZZ64,Small Intestine - Terminal Ileum,85626666
G60172.GTEX-132QS-0326.2,GTEX-132QS-0326-SM-5IJFN,GTEX-132QS,Thyroid,110640000
G65546.GTEX-P44H-0011-R3A.3,GTEX-P44H-0011-R3A-SM-5SI8A,GTEX-P44H,Brain - Anterior cingulate cortex (BA24),86320000
G34243.GTEX-S7SF-1426-SM-4AT5A.2,GTEX-S7SF-1426-SM-4AT5A,GTEX-S7SF,Vagina,78960000
G60243.GTEX-13OW5-2926.2,GTEX-13OW5-2926-SM-5IJF2,GTEX-13OW5,Pituitary,93360000
G52411.GTEX-ZTTD-2626.1,GTEX-ZTTD-2626-SM-57WEX,GTEX-ZTTD,Colon - Sigmoid,79586666
G53828.GTEX-1314G-1326.2,GTEX-1314G-1326-SM-5BC6E,GTEX-1314G,Skin - Not Sun Exposed (Suprapubic),82186666
G52468.GTEX-11EQ9-0826.3,GTEX-11EQ9-0826-SM-5986Y,GTEX-11EQ9,Esophagus - Muscularis,85520000
G61830.GTEX-13OVH-0011-R6b.2,GTEX-13OVH-0011-R6b-SM-5LUAX,GTEX-13OVH,Brain - Nucleus accumbens (basal ganglia),65853333
G52568.GTEX-ZVE2-0426.2,GTEX-ZVE2-0426-SM-59HJ7,GTEX-ZVE2,Nerve - Tibial,79520000
G41005.GTEX-WFON-2026-SM-4LVMW.3,GTEX-WFON-2026-SM-4LVMW,GTEX-WFON,Testis,65440000
G18376.GTEX-QEG5-0326-SM-2S1PB.1,GTEX-QEG5-0326-SM-2S1PB,GTEX-QEG5,Adipose - Subcutaneous,67693333
G20878.GTEX-QMR6-0011-R5A-SM-32PKT.1,GTEX-QMR6-0011-R5A-SM-32PKT,GTEX-QMR6,Brain - Caudate (basal ganglia),153373333
G49170.GTEX-YEC3-0826.1,GTEX-YEC3-0826-SM-4WWFP,GTEX-YEC3,Thyroid,110933333
G34355.GTEX-XMK1-0226-SM-4B65D.3,GTEX-XMK1-0226-SM-4B65D,GTEX-XMK1,Adrenal Gland,102013333
G59914.GTEX-12BJ1-2726.2,GTEX-12BJ1-2726-SM-5HL9M,GTEX-12BJ1,Artery - Tibial,85506666
G58346.GTEX-12ZZX-1226.2,GTEX-12ZZX-1226-SM-5EGHS,GTEX-12ZZX,Thyroid,65586666
G26595.GTEX-WYJK-0126-SM-3NMAB.1,GTEX-WYJK-0126-SM-3NMAB,GTEX-WYJK,Skin - Sun Exposed (Lower leg),128546666
G23352.GTEX-UJMC-0526-SM-3GAE3.1,GTEX-UJMC-0526-SM-3GAE3,GTEX-UJMC,Heart - Left Ventricle,114346666
G52485.GTEX-11NUK-3126.3,GTEX-11NUK-3126-SM-5986M,GTEX-11NUK,Pituitary,90173333
G34256.GTEX-XBED-1326-SM-4AT4F.2,GTEX-XBED-1326-SM-4AT4F,GTEX-XBED,Adipose - Visceral (Omentum),70920000
G32405.GTEX-QV31-0326-SM-447BM.3,GTEX-QV31-0326-SM-447BM,GTEX-QV31,Artery - Aorta,68760000
G58441.GTEX-12ZZZ-0011-R7b.2,GTEX-12ZZZ-0011-R7b-SM-5EGLE,GTEX-12ZZZ,Brain - Putamen (basal ganglia),91560000
G61906.GTEX-12WSH-0011-R10a.2,GTEX-12WSH-0011-R10a-SM-5LZUS,GTEX-12WSH,Brain - Frontal Cortex (BA9),69306666
G52381.GTEX-ZPCL-1826.1,GTEX-ZPCL-1826-SM-57WF1,GTEX-ZPCL,Colon - Transverse,113733333
G26650.GTEX-WHPG-0006-SM-3NMBV.1,GTEX-WHPG-0006-SM-3NMBV,GTEX-WHPG,Whole Blood,110466666
G62091.GTEX-13NZB-2126.2,GTEX-13NZB-2126-SM-5MR4Y,GTEX-13NZB,Breast - Mammary Tissue,83426666
G62209.GTEX-146FH-0826.2,GTEX-146FH-0826-SM-5SI8T,GTEX-146FH,Breast - Mammary Tissue,74973333
G62155.GTEX-13PL7-1026.2,GTEX-13PL7-1026-SM-5MR5C,GTEX-13PL7,Adrenal Gland,80373333
G16659.GTEX-Q2AH-0526.3,GTEX-Q2AH-0526-SM-2I3ED,GTEX-Q2AH,Heart - Left Ventricle,94013333
G61138.GTEX-YB5E-2226.3,GTEX-YB5E-2226-SM-5IFJ5,GTEX-YB5E,Muscle - Skeletal,95440000
G32947.GTEX-U3ZG-0006-SM-47JWX.3,GTEX-U3ZG-0006-SM-47JWX,GTEX-U3ZG,Whole Blood,91520000
G56352.GTEX-ZZ64-0826.3,GTEX-ZZ64-0826-SM-5E449,GTEX-ZZ64,Colon - Sigmoid,80413333
G59712.GTEX-11DXW-0226.2,GTEX-11DXW-0226-SM-5H122,GTEX-11DXW,Skin - Sun Exposed (Lower leg),75773333
G61868.GTEX-14753-2426.2,GTEX-14753-2426-SM-5LU8U,GTEX-14753,Breast - Mammary Tissue,70800000
G59870.GTEX-12WSF-0011-R5a.2,GTEX-12WSF-0011-R5a-SM-5HL8K,GTEX-12WSF,Brain - Caudate (basal ganglia),66560000
G18592.GTEX-RNOR-0526-SM-2TF4O.1,GTEX-RNOR-0526-SM-2TF4O,GTEX-RNOR,Muscle - Skeletal,90533333
G35629.GTEX-OIZG-0008-SM-4E3J2.4,GTEX-OIZG-0008-SM-4E3J2,GTEX-OIZG,Cells - Transformed fibroblasts,85973333
G59078.GTEX-ZLFU-0126.6,GTEX-ZLFU-0126-SM-5EQMN,GTEX-ZLFU,Artery - Coronary,98280000
G65058.GTEX-ZAJG-2626.2,GTEX-ZAJG-2626-SM-5S2NU,GTEX-ZAJG,Colon - Sigmoid,58346666
G62791.GTEX-13QIC-0011-R8b.3,GTEX-13QIC-0011-R8b-SM-5O9CV,GTEX-13QIC,Brain - Hypothalamus,117493333
G34502.GTEX-XUJ4-1626-SM-4BONV.8,GTEX-XUJ4-1626-SM-4BONV,GTEX-XUJ4,Vagina,83866666
G56120.GTEX-11XUK-2226.3,GTEX-11XUK-2226-SM-5CVLL,GTEX-11XUK,Muscle - Skeletal,78320000
G33857.GTEX-Q2AG-0008-SM-48U2K.3,GTEX-Q2AG-0008-SM-48U2K,GTEX-Q2AG,Cells - Transformed fibroblasts,74720000
G64250.GTEX-14AS3-0426.1,GTEX-14AS3-0426-SM-5QGQK,GTEX-14AS3,Adipose - Visceral (Omentum),65933333
G34259.GTEX-XBED-2026-SM-4AT5D.2,GTEX-XBED-2026-SM-4AT5D,GTEX-XBED,Testis,70160000
G60796.GTEX-13NZA-0011-R11b.2,GTEX-13NZA-0011-R11b-SM-5KM4W,GTEX-13NZA,Brain - Cerebellar Hemisphere,84933333
G41083.GTEX-WHSB-2126.4,GTEX-WHSB-2126-SM-4M1XF,GTEX-WHSB,Testis,75546666
G34007.GTEX-S4P3-0326-SM-4AD6P.3,GTEX-S4P3-0326-SM-4AD6P,GTEX-S4P3,Artery - Aorta,61426666
G45905.GTEX-XBEW-1926.2,GTEX-XBEW-1926-SM-4SOJO,GTEX-XBEW,Colon - Transverse,68520000
G18612.GTEX-R55F-1226-SM-2TF59.1,GTEX-R55F-1226-SM-2TF59,GTEX-R55F,Brain - Cerebellum,92733333
G32804.GTEX-X4XX-0011-R11A-SM-46MWQ.2,GTEX-X4XX-0011-R11A-SM-46MWQ,GTEX-X4XX,Brain - Cerebellar Hemisphere,74026666
G59406.GTEX-ZYFC-0426.4,GTEX-ZYFC-0426-SM-5GICQ,GTEX-ZYFC,Skin - Not Sun Exposed (Suprapubic),69240000
G33803.GTEX-Q734-1126-SM-48TZY.3,GTEX-Q734-1126-SM-48TZY,GTEX-Q734,Colon - Transverse,70333333
G34297.GTEX-XLM4-2026-SM-4AT4X.2,GTEX-XLM4-2026-SM-4AT4X,GTEX-XLM4,Heart - Atrial Appendage,69360000
G56231.GTEX-131XG-2126.2,GTEX-131XG-2126-SM-5DUXG,GTEX-131XG,Vagina,65853333
G26582.GTEX-P4PP-0626-SM-3NM9X.1,GTEX-P4PP-0626-SM-3NM9X,GTEX-P4PP,Esophagus - Mucosa,129026666
G62390.GTEX-ZVT4-2626.2,GTEX-ZVT4-2626-SM-5N9GJ,GTEX-ZVT4,Colon - Sigmoid,115960000
G18440.GTEX-QLQ7-1926-SM-2S1R6.1,GTEX-QLQ7-1926-SM-2S1R6,GTEX-QLQ7,Artery - Tibial,67986666
G59501.GTEX-12WSB-0011-R5b.2,GTEX-12WSB-0011-R5b-SM-5GU67,GTEX-12WSB,Brain - Caudate (basal ganglia),76920000
G19304.GTEX-S341-2026-SM-2XCAA.1,GTEX-S341-2026-SM-2XCAA,GTEX-S341,Artery - Tibial,42733333
G61793.GTEX-Y8E4-2226.2,GTEX-Y8E4-2226-SM-5LU94,GTEX-Y8E4,Testis,71746666
G32937.GTEX-RWS6-1726-SM-47JXP.3,GTEX-RWS6-1726-SM-47JXP,GTEX-RWS6,Vagina,66599999
G39742.GTEX-UTHO-2726-SM-4JBH9.1,GTEX-UTHO-2726-SM-4JBH9,GTEX-UTHO,Prostate,80280000
G56170.GTEX-Z9EW-2026.3,GTEX-Z9EW-2026-SM-5CVMQ,GTEX-Z9EW,Nerve - Tibial,74106666
G65702.GTEX-14ICL-0926.2,GTEX-14ICL-0926-SM-5S2TU,GTEX-14ICL,Adipose - Visceral (Omentum),81293333
G25128.GTEX-P4QT-0226-SM-3LK68.1,GTEX-P4QT-0226-SM-3LK68,GTEX-P4QT,Adipose - Subcutaneous,105360000
G59724.GTEX-11DXX-0726.2,GTEX-11DXX-0726-SM-5H12X,GTEX-11DXX,Spleen,72186666
G52495.GTEX-11I78-2026.3,GTEX-11I78-2026-SM-5987C,GTEX-11I78,Vagina,84533333
G60213.GTEX-13FH7-0526.2,GTEX-13FH7-0526-SM-5IJF8,GTEX-13FH7,Esophagus - Mucosa,86306666
G60985.GTEX-13PVQ-2226.2,GTEX-13PVQ-2226-SM-5L3G9,GTEX-13PVQ,Adipose - Visceral (Omentum),78573333
G26707.GTEX-VJYA-0001-SM-3NMDJ.1,GTEX-VJYA-0001-SM-3NMDJ,GTEX-VJYA,Cells - EBV-transformed lymphocytes,120186666
G56141.GTEX-Z9EW-1626.2,GTEX-Z9EW-1626-SM-5CVMN,GTEX-Z9EW,Skin - Sun Exposed (Lower leg),71413333
G60043.GTEX-13O3Q-0826.1,GTEX-13O3Q-0826-SM-5IFGF,GTEX-13O3Q,Esophagus - Mucosa,62066666
G62683.GTEX-144GN-1226.2,GTEX-144GN-1226-SM-5O991,GTEX-144GN,Stomach,74533333
G35622.GTEX-O5YW-0008-SM-4E3IE.4,GTEX-O5YW-0008-SM-4E3IE,GTEX-O5YW,Cells - Transformed fibroblasts,107693333
G33806.GTEX-PX3G-0926-SM-48U12.3,GTEX-PX3G-0926-SM-48U12,GTEX-PX3G,Spleen,75933333
G64363.GTEX-13S7M-3126.1,GTEX-13S7M-3126-SM-5RQJQ,GTEX-13S7M,Brain - Cortex,71640000
G16680.GTEX-OXRL-0526.3,GTEX-OXRL-0526-SM-2I3EZ,GTEX-OXRL,Lung,92200000
G62101.GTEX-13NYC-2426.2,GTEX-13NYC-2426-SM-5MR3K,GTEX-13NYC,Thyroid,98560000
G23417.GTEX-UTHO-0011-R5A-SM-3GIJD.1,GTEX-UTHO-0011-R5A-SM-3GIJD,GTEX-UTHO,Brain - Caudate (basal ganglia),51906666
G63180.GTEX-13X6I-0011-R8a.2,GTEX-13X6I-0011-R8a-SM-5PNZF,GTEX-13X6I,Brain - Hypothalamus,108960000
G52398.GTEX-ZT9W-2226.1,GTEX-ZT9W-2226-SM-57WFU,GTEX-ZT9W,Testis,82720000
G63872.GTEX-11EM3-0001.2,GTEX-11EM3-0001-SM-5Q5BD,GTEX-11EM3,Cells - EBV-transformed lymphocytes,65186666
G62076.GTEX-13N1W-0826.2,GTEX-13N1W-0826-SM-5MR5J,GTEX-13N1W,Thyroid,81466666
G63921.GTEX-145MG-0826.2,GTEX-145MG-0826-SM-5Q5C2,GTEX-145MG,Thyroid,59280000
G65215.GTEX-14BMV-3026.2,GTEX-14BMV-3026-SM-5S2PQ,GTEX-14BMV,Brain - Cortex,65879999
G23427.GTEX-VUSG-1426-SM-3GIJN.1,GTEX-VUSG-1426-SM-3GIJN,GTEX-VUSG,Adipose - Visceral (Omentum),81720000
G59342.GTEX-12WSK-2326.2,GTEX-12WSK-2326-SM-5GCOH,GTEX-12WSK,Skin - Sun Exposed (Lower leg),59933333
G59447.GTEX-117XS-2026.4,GTEX-117XS-2026-SM-5GID1,GTEX-117XS,Testis,77266666
G52415.GTEX-ZP4G-2326.1,GTEX-ZP4G-2326-SM-57WEM,GTEX-ZP4G,Adipose - Subcutaneous,85186666
G53807.GTEX-11ZVC-0011-R3a.2,GTEX-11ZVC-0011-R3a-SM-5BC6V,GTEX-11ZVC,Brain - Anterior cingulate cortex (BA24),174800000
G60234.GTEX-13N11-0926.2,GTEX-13N11-0926-SM-5IJG2,GTEX-13N11,Liver,101933333
G52273.GTEX-ZXG5-0011-R10a.1,GTEX-ZXG5-0011-R10a-SM-57WDD,GTEX-ZXG5,Brain - Frontal Cortex (BA9),73346666
G62136.GTEX-13N2G-0011-R11a.2,GTEX-13N2G-0011-R11a-SM-5MR3F,GTEX-13N2G,Brain - Cerebellar Hemisphere,78720000
G60002.GTEX-1399U-0926.1,GTEX-1399U-0926-SM-5IFHA,GTEX-1399U,Pancreas,78893333
G59458.GTEX-ZYT6-0426.4,GTEX-ZYT6-0426-SM-5GID3,GTEX-ZYT6,Thyroid,69360000
G42255.GTEX-X3Y1-0326.3,GTEX-X3Y1-0326-SM-4PQZ7,GTEX-X3Y1,Artery - Aorta,55773333
